epoch,accuracy,learning_rate,loss,top3_accuracy,val_accuracy,val_learning_rate,val_loss,val_top3_accuracy
0,0.8454594016075134,9.999999747378752e-06,1.2148183584213257,0.9622942209243774,NA,NA,NA,NA
1,0.8412108421325684,9.999999747378752e-06,1.21193265914917,0.9638873934745789,NA,NA,NA,NA
2,0.8608603477478027,9.999999747378752e-06,1.1998889446258545,0.9644184708595276,NA,NA,NA,NA
3,0.8693574070930481,9.999999747378752e-06,1.1870019435882568,0.9644184708595276,NA,NA,NA,NA
4,0.8544875383377075,9.999999747378752e-06,1.1847821474075317,0.9622942209243774,NA,NA,NA,NA
5,0.8560807108879089,9.999999747378752e-06,1.1699721813201904,0.9665427803993225,NA,NA,NA,NA
6,0.8688263297080994,9.999999747378752e-06,1.1398348808288574,0.9755709171295166,NA,NA,NA,NA
7,0.8667020797729492,9.999999747378752e-06,1.1526669263839722,0.9676048755645752,NA,NA,NA,NA
8,0.8624535202980042,9.999999747378752e-06,1.1749287843704224,0.9691981077194214,NA,NA,NA,NA
9,0.8667020797729492,9.999999747378752e-06,1.1665785312652588,0.9739776849746704,NA,NA,NA,NA
10,0.8677642345428467,2.9999998787388904e-06,1.1577746868133545,0.9660117030143738,NA,NA,NA,NA
